_id,studentName,admissionNo,phoneNo,address,rollNo,belongingClass,belongingSchool,sex
100,ST_S1_C1_1,ST_S1_C1_admn_1,100,ST_S1_C1_addr_1,1,100,100,male
101,ST_S1_C1_2,ST_S1_C1_admn_2,101,ST_S1_C1_addr_2,2,100,100,male
102,ST_S1_C1_3,ST_S1_C1_admn_3,102,ST_S1_C1_addr_3,3,100,100,male
103,ST_S1_C1_4,ST_S1_C1_admn_4,103,ST_S1_C1_addr_4,4,100,100,male
104,ST_S1_C1_5,ST_S1_C1_admn_5,104,ST_S1_C1_addr_5,5,100,100,male
105,ST_S1_C1_6,ST_S1_C1_admn_6,105,ST_S1_C1_addr_6,6,100,100,female
106,ST_S1_C1_7,ST_S1_C1_admn_7,106,ST_S1_C1_addr_7,7,100,100,female
107,ST_S1_C1_8,ST_S1_C1_admn_8,107,ST_S1_C1_addr_8,8,100,100,female
108,ST_S1_C1_9,ST_S1_C1_admn_9,108,ST_S1_C1_addr_9,9,100,100,female
109,ST_S1_C1_10,ST_S1_C1_admn_10,109,ST_S1_C1_addr_10,10,100,100,female
110,ST_S1_C2_1,ST_S1_C2_admin_1,110,ST_S1_C2_addr_1,1,101,100,male
111,ST_S1_C2_2,ST_S1_C2_admin_2,111,ST_S1_C2_addr_2,2,101,100,male
112,ST_S1_C2_3,ST_S1_C2_admin_3,112,ST_S1_C2_addr_3,3,101,100,male
113,ST_S1_C2_4,ST_S1_C2_admin_4,113,ST_S1_C2_addr_4,4,101,100,male
114,ST_S1_C2_5,ST_S1_C2_admin_5,114,ST_S1_C2_addr_5,5,101,100,female
115,ST_S1_C2_6,ST_S1_C2_admin_6,115,ST_S1_C2_addr_6,6,101,100,female
116,ST_S1_C2_7,ST_S1_C2_admin_7,116,ST_S1_C2_addr_7,7,101,100,female
117,ST_S1_C2_8,ST_S1_C2_admin_8,117,ST_S1_C2_addr_8,8,101,100,female
118,ST_S1_C2_9,ST_S1_C2_admin_9,118,ST_S1_C2_addr_9,9,101,100,female
119,ST_S1_C2_10,ST_S1_C2_admin_10,119,ST_S1_C2_addr_10,10,101,100,female
120,ST_S1_C3_1,ST_S1_C3_admin_1,120,ST_S1_C3_addr_1,1,102,100,male
121,ST_S1_C3_2,ST_S1_C3_admin_2,121,ST_S1_C3_addr_2,2,102,100,male
122,ST_S1_C3_3,ST_S1_C3_admin_3,122,ST_S1_C3_addr_3,3,102,100,male
123,ST_S1_C3_4,ST_S1_C3_admin_4,123,ST_S1_C3_addr_4,4,102,100,male
124,ST_S1_C3_5,ST_S1_C3_admin_5,124,ST_S1_C3_addr_5,5,102,100,male
125,ST_S1_C3_6,ST_S1_C3_admin_6,125,ST_S1_C3_addr_6,6,102,100,male
126,ST_S1_C3_7,ST_S1_C3_admin_7,126,ST_S1_C3_addr_7,7,102,100,male
127,ST_S1_C3_8,ST_S1_C3_admin_8,127,ST_S1_C3_addr_8,8,102,100,female
128,ST_S1_C3_9,ST_S1_C3_admin_9,128,ST_S1_C3_addr_9,9,102,100,female
129,ST_S1_C3_10,ST_S1_C3_admin_10,129,ST_S1_C3_addr_10,10,102,100,female
200,ST_S2_C1_1,ST_S2_C1_admn_1,200,ST_S2_C1_addr_1,1,200,101,male
201,ST_S2_C1_2,ST_S2_C1_admn_2,201,ST_S2_C1_addr_2,2,200,101,male
202,ST_S2_C1_3,ST_S2_C1_admn_3,202,ST_S2_C1_addr_3,3,200,101,male
