_id,name,Tid,password,address,phoneNo,isActivated,school,academicYear,isDisabled
100,AA_t_1,C19AA001,pass1,addr_AA_1,1001,TRUE,100,1,FALSE
101,AA_t_2,C19AA002,pass1,addr_AA_2,1002,TRUE,100,1,FALSE
102,AA_t_3,C19AA003,pass1,addr_AA_3,1003,TRUE,100,1,FALSE
103,AA_t_4,N19AA004,pass1,addr_AA_4,1004,TRUE,100,1,FALSE
104,AA_t_5,N19AA005,pass1,addr_AA_5,1005,TRUE,100,1,FALSE
200,AB_t_1,C19AB001,pass1,addr_AB_1,1011,TRUE,101,1,FALSE
201,AB_t_2,C19AB002,pass1,addr_AB_2,1012,TRUE,101,1,FALSE
202,AB_t_3,C19AB003,pass1,addr_AB_3,1013,TRUE,101,1,FALSE
203,AB_t_4,N19AB004,pass1,addr_AB_4,1014,TRUE,101,1,FALSE
204,AB_t_5,N19AB005,pass1,addr_AB_5,1015,TRUE,101,1,FALSE
300,AC_t_1,C19AB001,pass1,addr_AC_1,1021,TRUE,102,1,FALSE
301,AC_t_2,C19AB002,pass1,addr_AC_2,1022,TRUE,102,1,FALSE
302,AC_t_3,C19AB003,pass1,addr_AC_3,1023,TRUE,102,1,FALSE
303,AC_t_4,N19AB004,pass1,addr_AC_4,1024,TRUE,102,1,FALSE
304,AC_t_5,N19AB005,pass1,addr_AC_5,1025,TRUE,102,1,FALSE
